Model,Train_Accuracy,Test_Accuracy,F1_Score,Recall,Precision,CV_Score
Random Forest,0.9986711766127084,0.7750177430801988,0.5867014341590612,0.6016042780748663,0.5725190839694656,0.8545986160264294
XGBoost,0.911331239429814,0.7778566359119943,0.6012738853503183,0.6310160427807486,0.5742092457420924,0.8381685196044273
CatBoost,0.88342594829669,0.7821149751596878,0.6157697121401753,0.6577540106951871,0.5788235294117647,0.8353606019555236
