iter	Passed	Remaining
432	1521	1992
433	1524	1988
434	1527	1983
435	1530	1979
436	1533	1975
437	1536	1971
438	1539	1967
439	1542	1963
440	1545	1959
441	1549	1955
442	1552	1951
443	1555	1947
444	1558	1943
445	1561	1939
446	1564	1935
447	1567	1931
448	1570	1927
449	1573	1923
450	1576	1919
451	1580	1915
452	1583	1912
453	1587	1908
454	1590	1904
455	1593	1901
456	1597	1897
457	1600	1894
458	1603	1890
459	1607	1886
460	1610	1883
461	1613	1879
462	1617	1875
463	1620	1871
464	1623	1868
465	1627	1864
466	1630	1860
467	1633	1856
468	1636	1852
469	1639	1848
470	1642	1844
471	1645	1840
472	1648	1836
473	1651	1832
474	1654	1828
475	1657	1824
476	1660	1820
477	1663	1816
478	1666	1812
479	1669	1809
480	1673	1806
481	1677	1803
482	1681	1800
483	1685	1797
484	1689	1793
485	1692	1790
486	1696	1786
487	1699	1783
488	1703	1779
489	1706	1776
490	1709	1772
491	1712	1768
492	1716	1764
493	1719	1761
494	1722	1757
495	1725	1753
496	1728	1749
497	1732	1746
498	1735	1742
499	1738	1738
500	1742	1735
501	1745	1731
502	1749	1728
503	1752	1724
504	1755	1721
505	1759	1717
506	1762	1714
507	1766	1710
508	1769	1706
509	1772	1703
510	1776	1699
511	1779	1696
512	1783	1692
513	1787	1689
514	1790	1686
515	1794	1682
516	1797	1679
517	1801	1675
518	1804	1672
519	1808	1669
520	1812	1666
521	1817	1664
522	1821	1660
523	1824	1657
524	1828	1654
525	1831	1650
526	1835	1647
527	1838	1643
528	1842	1640
529	1845	1636
530	1849	1633
531	1853	1630
532	1856	1626
533	1860	1623
534	1863	1619
535	1866	1616
536	1870	1612
537	1874	1609
538	1879	1607
539	1883	1604
540	1888	1602
541	1892	1599
542	1896	1596
543	1900	1593
544	1904	1590
545	1908	1586
546	1912	1583
547	1915	1579
548	1919	1576
549	1922	1573
550	1926	1569
551	1929	1566
552	1933	1562
553	1936	1559
554	1940	1555
555	1944	1552
556	1948	1549
557	1952	1546
558	1957	1544
559	1961	1541
560	1965	1538
561	1969	1534
562	1972	1531
563	1975	1527
564	1979	1524
565	1983	1520
566	1987	1517
567	1991	1515
568	1996	1512
569	2000	1508
570	2004	1505
571	2008	1502
572	2012	1499
573	2016	1496
574	2020	1493
575	2024	1490
576	2028	1486
577	2031	1483
578	2036	1480
579	2040	1477
580	2045	1474
581	2049	1471
582	2053	1468
583	2057	1465
584	2062	1462
585	2066	1459
586	2070	1456
587	2074	1453
588	2079	1450
589	2083	1447
590	2087	1444
591	2091	1441
592	2095	1438
593	2100	1435
594	2105	1432
595	2108	1429
596	2113	1426
597	2117	1423
598	2121	1420
599	2126	1417
