iter	Logloss
0	0.6528340725
1	0.6167507799
2	0.5847885819
3	0.5559303055
4	0.5320534913
5	0.5160025765
6	0.5016071289
7	0.4891029811
8	0.4727206892
9	0.4574573469
10	0.4474289359
11	0.4354209548
12	0.4259260267
13	0.4166719939
14	0.4104094503
15	0.4024276183
16	0.3975503786
17	0.3923797797
18	0.388009788
19	0.384303635
20	0.3798456136
21	0.3769322514
22	0.3736269157
23	0.3700215365
24	0.3677452961
25	0.3645557427
26	0.3618139057
27	0.359689391
28	0.3569678893
29	0.3552349276
30	0.3528498885
31	0.3518825328
32	0.3514388304
33	0.3498928686
34	0.3481852213
35	0.3465990749
36	0.345399393
37	0.344223497
38	0.3431771042
39	0.3417810021
40	0.3408642128
41	0.3397013355
42	0.3386204752
43	0.3378578151
44	0.3371570238
45	0.3363597924
46	0.335455632
47	0.3348138098
48	0.334043994
49	0.3336431005
50	0.3328086233
51	0.3323537723
52	0.3318456464
53	0.33168721
54	0.3309299261
55	0.3303712169
56	0.3298948145
57	0.3291308741
58	0.3285761844
59	0.3283836311
60	0.3280653861
61	0.3276790882
62	0.3276428297
63	0.3269473603
64	0.3266382353
65	0.3259050906
66	0.3254448146
67	0.3250830884
68	0.3246631698
69	0.3242285499
70	0.3238725141
71	0.3235151677
72	0.3234578447
73	0.3232300002
74	0.3229506957
75	0.3225636996
76	0.3220165072
77	0.321767845
78	0.321530829
79	0.3212427512
80	0.3208334485
81	0.3205993799
82	0.3201286591
83	0.3196102618
84	0.3193466504
85	0.3189685416
86	0.3185046707
87	0.3181537332
88	0.3179317589
89	0.3176839522
90	0.3172069558
91	0.3167426551
92	0.316367968
93	0.3160130377
94	0.3157871601
95	0.3154168423
96	0.3151951796
97	0.3150471552
98	0.3147291643
99	0.3145125555
100	0.3143276985
101	0.3140108285
102	0.3138854324
103	0.3137138101
104	0.3136694574
105	0.3135941662
106	0.3134012704
107	0.3130098737
108	0.3128068093
109	0.3126334971
110	0.3122321361
111	0.3119501889
112	0.3117430713
113	0.3117254983
114	0.3113715808
115	0.3112494615
116	0.311073796
117	0.3108358575
118	0.3107023332
119	0.3104442718
120	0.3103046205
121	0.3101439314
122	0.3097972901
123	0.3095529995
124	0.3095191918
125	0.3094125644
126	0.3092409993
127	0.3089783693
128	0.308796832
129	0.3086115321
130	0.3084435476
131	0.3081395038
132	0.3081394373
133	0.3078785233
134	0.307742138
135	0.3073158089
136	0.3070964403
137	0.3070491327
138	0.306629901
139	0.3065590216
140	0.3062663364
141	0.3062474574
142	0.3060413391
143	0.3058320659
144	0.3057436625
145	0.3057285544
146	0.3057133388
147	0.3054922113
148	0.3052176923
149	0.3049791476
150	0.3047476634
151	0.3044901059
152	0.3043516662
153	0.3041428089
154	0.3038683474
155	0.3036242209
156	0.3034745852
157	0.3032400909
158	0.3030572375
159	0.3027290397
160	0.302539919
161	0.3022716221
162	0.302057768
163	0.3017492833
164	0.3015649748
165	0.3013354385
166	0.3010270281
167	0.300791791
