,precision,recall,f1-score,support
0,0.8539435248296008,0.8473429951690822,0.8506304558680894,1035.0
1,0.5863874345549738,0.5989304812834224,0.5925925925925924,374.0
accuracy,0.7814052519517388,0.7814052519517388,0.7814052519517388,0.7814052519517388
macro avg,0.7201654796922873,0.7231367382262524,0.7216115242303409,1409.0
weighted avg,0.7829243780853067,0.7814052519517388,0.7821377937921234,1409.0
