,precision,recall,f1-score,support
0,0.8486905916585838,0.8454106280193237,0.8470474346563407,1035.0
1,0.5767195767195767,0.5828877005347594,0.5797872340425532,374.0
accuracy,0.7757274662881476,0.7757274662881476,0.7757274662881476,0.7757274662881476
macro avg,0.7127050841890803,0.7141491642770414,0.713417334349447,1409.0
weighted avg,0.776499562852914,0.7757274662881476,0.7761068278220209,1409.0
